Cat_Name,Category_ID
Lettuce - Spring Mix,1270934228
Longos - Cheese Tortellini,4840397252
Soup - Campbells - Tomato,0967002052
Wine - Jaboulet Cotes Du Rhone,5516395305
Gelatine Powder,3393610511
Cabbage - Nappa,1836856717
Cookie - Dough Variety,9655307565
Beer - Corona,7099429825
Pepper - Gypsy Pepper,4366741067
"Glass - Wine, Plastic, Clear 5 Oz",2126377504
Vinegar - Sherry,2225448140
"Pesto - Primerba, Paste",4296314424
"Tart Shells - Barquettes, Savory",9323247812
Anchovy Paste - 56 G Tube,9599830415
Longos - Penne With Pesto,3858987573
"Soup - Knorr, Classic Can. Chili",7303394257
Wine - Chardonnay Mondavi,6712694663
Quinoa,7191200766
"Pasta - Lasagne, Fresh",4833751801
Wine - Chateau Bonnet,9305887104
"Flour - Buckwheat, Dark",7935235384
"Turkey - Breast, Double",4310850197
Oil - Cooking Spray,8465282072
Wonton Wrappers,1044442867
Wine - Placido Pinot Grigo,0417382332
Cheese - Grie Des Champ,6181814183
"Lemonade - Black Cherry, 591 Ml",1121139787
Lamb - Ground,6263552735
Bagel - Ched Chs Presliced,4692469749
Taro Leaves,0890341346
Soup - Campbells Chili Veg,0728308401
Wine - Montecillo Rioja Crianza,4308253357
Bouillion - Fish,9762949617
Sunflower Seed Raw,3414096374
Chutney Sauce - Mango,4180315882
Island Oasis - Peach Daiquiri,5554489338
Pie Box - Cello Window 2.5,9886336978
"Chicken - White Meat, No Tender",1773721097
Syrup - Kahlua Chocolate,2156940630
Sprouts Dikon,7801687302
Mushroom - White Button,8909339896
"Pork - Tenderloin, Fresh",7255425607
Clams - Canned,8410834081
Cardamon Ground,2206905515
Parsley - Fresh,6324614387
Rabbit - Frozen,4748805595
Beef - Tenderloin Tails,8843812696
Beets - Golden,7378954667
Capon - Whole,6056667723
Pears - Anjou,3008042007
"Mushroom - Shitake, Fresh",4455821848
Wine - Barossa Valley Estate,8672204085
Chinese Foods - Pepper Beef,4607934917
Puree - Pear,4256118020
"Rosemary - Primerba, Paste",5354762782
Beef - Tender Tips,5249366775
Table Cloth 53x69 White,1934270393
Sproutsmustard Cress,0382555856
"Veal - Inside Round / Top, Lean",9484787533
Tomatoes Tear Drop,4260536818
Maintenance Removal Charge,7327037950
"Veal - Insides, Grains",0209075872
Island Oasis - Wildberry,2042863130
"Pepper - Black, Whole",4396112394
"Sprite, Diet - 355ml",7547252125
Glass Clear 7 Oz Xl,9108952140
"Rice Pilaf, Dry,package",3138327192
Chutney Sauce,1808258118
Flounder - Fresh,3984463960
"Pasta - Lasagne, Fresh",4975054515
Creme De Cacao White,9121310629
Ecolab - Ster Bac,1817249649
"Turkey - Breast, Bone - In",5205985267
Salmon Steak - Cohoe 8 Oz,2586956427
Mayonnaise - Individual Pkg,8185546894
Poppy Seed,2324453886
Sauce - Marinara,0206681720
Dc - Frozen Momji,0770823343
Water - San Pellegrino,5226637136
Steampan - Half Size Shallow,3502707197
"Chocolate - Pistoles, White",6750582664
Bagels Poppyseed,0667029664
"Pork - Butt, Boneless",2772235254
Lamb - Bones,9778799180
Quinoa,4806218286
"Coconut - Shredded, Sweet",1411953339
Long Island Ice Tea,2171467150
Ice Cream - Turtles Stick Bar,7739580228
Breakfast Quesadillas,1198473207
Wine - Fontanafredda Barolo,2869061366
Hagen Daza - Dk Choocolate,0233870997
Pork - Sausage Casing,4955837697
Green Tea Refresher,3524051669
Oil - Margarine,0809072157
Bread - Kimel Stick Poly,9036729912
Ice Cream Bar - Hageen Daz To,3145268430
Longos - Chicken Cordon Bleu,2465518054
Rice - Long Grain,4029397352
"Dill - Primerba, Paste",4417707073
"Pasta - Elbows, Macaroni, Dry",7693562664
