Dept_Name,Dept_Number,Company_ID,Location
Business Development,6650,3104705100,Springfield
Creative Services,6651,3104705100,Springfield
Customer Service,6652,3104705100,Springfield
Accounting,6653,3104705100,Springfield
Human Resources,6654,3104705100,Springfield
Legal,6655,3104705100,Springfield
Operations,6656,3104705100,Springfield
Production,6657,3104705100,Springfield
Risk Management,6658,3104705100,Springfield
Marketing,6659,3104705100,Springfield
Sales,6660,3104705100,Springfield
Technology,6661,3104705100,Springfield
General Management,6662,3104705100,Springfield
Engineering,6663,3104705100,Springfield
Investor Relations,6664,3104705100,Springfield
Product Management,6665,3104705100,Springfield
Quality Assurance,6666,3104705100,Springfield
Strategic Initiatives & Programs,6667,3104705100,Springfield
Board of Directors,6668,3104705100,Springfield
Research and Development,6669,3104705100,Springfield
Training,6670,3104705100,Springfield
Support,6671,3104705100,Springfield
Asset Management,6672,3104705100,Springfield
Project Management,6673,3104705100,Springfield
IT,6674,3104705100,Springfield
Social Media,6675,3104705100,Springfield
Client Relations Management,6676,3104705100,Springfield
Corporate Communications,6677,3104705100,Springfield
Sourcing,6678,3104705100,Springfield
Inspection,6679,3104705100,Springfield
